T/K,p/kPa
323.079,0.8741
333.083,1.509
353.088,4.05
373.12,9.562
393.121,20.15
393.121,20.154
413.122,38.892
433.123,69.685
453.124,117.25
473.126,187.25
493.126,285.77
513.127,420.38
533.129,598.79
553.13,830.15
573.13,1125.9
588.132,1395.0
