T/K,p/kPa
413.069,0.2656
423.074,0.4436
433.08,0.7294
443.086,1.148
453.124,1.761
463.098,2.637
473.126,3.87
483.126,5.566
493.126,7.834
503.127,10.835
513.127,14.744
528.129,22.736
528.129,22.73
543.129,34.026
558.13,49.559
573.13,70.49
588.132,98.24
