T/K,p/kPa
353.119,0.7338
373.12,2.031
393.071,4.912
413.077,10.69
433.123,21.248
453.124,39.125
473.125,67.572
493.126,110.5
513.126,172.41
533.129,258.71
553.13,375.27
573.131,528.82
588.132,671.13
