T/K,p/kPa
373.076,0.4429
393.086,1.227
413.096,3.026
433.106,6.693
453.115,13.526
473.126,25.267
493.126,44.274
503.114,57.442
513.127,73.53
523.129,93.059
533.129,116.5
533.129,116.52
553.13,177.57
573.13,261.56
583.132,314.05
588.132,343.45
